NOM;CODI;DATA_INI;DATA_FI;RESIDENCIA;IEPG_CONFIRMAT;R0_CONFIRMAT_M;TAXA_CASOS_CONFIRMAT;CASOS_CONFIRMAT;TAXA_PCR;PCR;PERC_PCR_POSITIVES;INGRESSOS_TOTAL;INGRESSOS_CRITIC;EXITUS
CATALUNYA;CATALUNYA;2020-09-14;2020-09-20;--;;;0.0000;118;0.0000;1012;7.4747;42;4;0
CATALUNYA;CATALUNYA;2020-09-14;2020-09-20;Si;;;305.5954;200;5991.1988;3921;6.1047;32;1;19
CATALUNYA;CATALUNYA;2020-09-13;2020-09-19;Si;;;368.2425;241;6038.5661;3952;7.1202;27;1;19
CATALUNYA;CATALUNYA;2020-09-13;2020-09-19;No;230.467;1.28606;97.7332;7434;1364.8083;103813;7.1880;515;67;61
CATALUNYA;CATALUNYA;2020-09-13;2020-09-19;--;;;0.0000;124;0.0000;1006;8.0448;42;4;0
CATALUNYA;CATALUNYA;2020-09-12;2020-09-18;--;;;0.0000;132;0.0000;994;8.8843;36;6;0
CATALUNYA;CATALUNYA;2020-09-12;2020-09-18;Si;;;426.3056;279;6004.9506;3930;8.0533;30;1;15
CATALUNYA;CATALUNYA;2020-09-12;2020-09-18;No;225.023;1.25393;98.7455;7511;1329.9298;101160;7.4622;516;66;58
CATALUNYA;CATALUNYA;2020-09-11;2020-09-17;No;193.839;1.07945;88.6225;6741;1142.7063;86919;7.6674;479;66;57
CATALUNYA;CATALUNYA;2020-09-11;2020-09-17;--;;;0.0000;116;0.0000;885;8.7963;32;6;0
CATALUNYA;CATALUNYA;2020-09-11;2020-09-17;Si;;;381.9943;250;5138.5875;3363;8.2854;31;1;16
CATALUNYA;CATALUNYA;2020-09-10;2020-09-16;Si;;;377.4103;247;5465.5746;3577;7.5537;34;1;18
CATALUNYA;CATALUNYA;2020-09-10;2020-09-16;No;179.824;1.00701;88.4910;6731;1138.7097;86615;7.9432;485;70;56
CATALUNYA;CATALUNYA;2020-09-10;2020-09-16;--;;;0.0000;114;0.0000;824;9.4527;33;5;0
CATALUNYA;CATALUNYA;2020-09-09;2020-09-15;--;;;0.0000;119;0.0000;895;8.5057;33;5;0
CATALUNYA;CATALUNYA;2020-09-09;2020-09-15;Si;;;319.3472;209;5763.5302;3772;6.0108;28;0;18
CATALUNYA;CATALUNYA;2020-09-09;2020-09-15;No;166.951;0.948958;86.0457;6545;1108.2486;84298;7.9338;479;72;55
CATALUNYA;CATALUNYA;2020-09-08;2020-09-14;No;161.962;0.93727;82.8905;6305;1088.8045;82819;7.7551;472;69;53
CATALUNYA;CATALUNYA;2020-09-08;2020-09-14;--;;;0.0000;124;0.0000;907;8.6809;39;6;0
CATALUNYA;CATALUNYA;2020-09-08;2020-09-14;Si;;;323.9311;212;6202.0597;4059;5.3637;26;0;19
CATALUNYA;CATALUNYA;2020-09-07;2020-09-13;No;160.216;0.930424;82.1017;6245;1082.9673;82375;7.7666;478;74;53
CATALUNYA;CATALUNYA;2020-09-07;2020-09-13;--;;;0.0000;131;0.0000;948;8.0906;33;6;0
CATALUNYA;CATALUNYA;2020-09-07;2020-09-13;Si;;;279.6198;183;5719.2188;3743;5.4046;30;0;12
CATALUNYA;CATALUNYA;2020-09-06;2020-09-12;--;;;0.0000;136;0.0000;944;8.2251;34;4;0
